channel,saliency_mean
0,4.460678610485047e-05
1,4.711479050456546e-05
2,3.836418181890622e-05
3,5.80460655328352e-05
4,4.0443836041959e-05
5,3.971736805397086e-05
6,5.214157863520086e-05
7,4.113976319786161e-05
8,5.346046236809343e-05
9,7.76022206991911e-05
10,5.311999120749533e-05
11,5.3355906857177615e-05
12,5.414586121332832e-05
13,5.080542905488983e-05
14,5.5550088291056454e-05
15,6.947694782866165e-05
16,3.475619450910017e-05
17,5.594692629529163e-05
18,5.782501102657989e-05
19,5.07719159941189e-05
20,6.601071072509512e-05
21,8.653093391330913e-05
22,4.9216476327273995e-05
23,4.37954549852293e-05
24,3.315372669021599e-05
25,5.751647040597163e-05
26,4.712759255198762e-05
27,4.1291907109552994e-05
28,4.8276924644596875e-05
29,4.832405102206394e-05
30,3.5059405490756035e-05
31,4.382521365187131e-05
32,2.875548852898646e-05
33,4.094029645784758e-05
34,3.569625550881028e-05
35,3.0094308385741897e-05
36,4.9702190153766423e-05
37,5.356695692171343e-05
38,5.9544727264437824e-05
39,3.667454802780412e-05
40,3.9894213841762394e-05
41,3.0291515940916725e-05
42,4.490182618610561e-05
43,5.881010292796418e-05
44,7.330983498832211e-05
45,4.1266965126851574e-05
46,7.102615927578881e-05
47,7.394704880425707e-05
48,3.648271376732737e-05
49,5.163667810847983e-05
50,7.203783752629533e-05
51,3.9092683437047526e-05
52,3.076748180319555e-05
53,5.4304004152072594e-05
54,6.679257785435766e-05
55,4.5634358684765175e-05
56,8.887874719221145e-05
57,3.5143391869496554e-05
58,2.8452386686694808e-05
59,4.764217374031432e-05
60,4.16352559113875e-05
61,3.092165570706129e-05
62,3.8677975680911914e-05
63,8.065601286944002e-05
