channel,w_l1,w_l2
0,6.3111443519592285,0.4752475917339325
1,6.570030689239502,0.48589757084846497
2,6.240235328674316,0.4500436782836914
3,6.564843654632568,0.48065185546875
4,7.03133487701416,0.5337802767753601
5,6.306326866149902,0.4761127233505249
6,5.95890998840332,0.4449406862258911
7,5.873025417327881,0.43311402201652527
8,7.349277496337891,0.5619474053382874
9,6.519323825836182,0.4973163902759552
10,6.810533046722412,0.5179752707481384
11,6.156280040740967,0.4569838047027588
12,6.489926815032959,0.4970078766345978
13,6.913722038269043,0.514763593673706
14,7.139420032501221,0.5348747372627258
15,6.750001907348633,0.5174749493598938
16,6.572263717651367,0.5044800639152527
17,6.907395362854004,0.5233174562454224
18,6.566025257110596,0.4914200007915497
19,7.2773356437683105,0.5567377805709839
20,6.417782306671143,0.49166443943977356
21,7.2424421310424805,0.5593722462654114
22,6.417844295501709,0.4714433252811432
23,6.42342472076416,0.4786997139453888
24,6.025636672973633,0.44607964158058167
25,7.103401184082031,0.527411937713623
26,6.513018608093262,0.5017632842063904
27,6.934560775756836,0.5025390386581421
28,6.549975395202637,0.4868423342704773
29,6.63801908493042,0.4981854557991028
30,5.964745998382568,0.4591267704963684
31,6.67763090133667,0.5056381225585938
32,6.236181259155273,0.45084577798843384
33,6.232682228088379,0.464107483625412
34,6.19301700592041,0.47884228825569153
35,5.583187103271484,0.4166702330112457
36,6.455277919769287,0.4811728298664093
37,6.209444999694824,0.48832184076309204
38,6.595278739929199,0.5008598566055298
39,6.49234676361084,0.4813428223133087
40,5.798593521118164,0.439969003200531
41,5.644611358642578,0.4149032533168793
42,5.965178966522217,0.4352918267250061
43,6.171479225158691,0.4643249213695526
44,6.592566013336182,0.48767760396003723
45,6.128843784332275,0.46018174290657043
46,6.6592206954956055,0.5010582208633423
47,7.410079479217529,0.5539013147354126
48,6.069782257080078,0.4490300118923187
49,6.994358062744141,0.528668224811554
50,6.822268009185791,0.5119612216949463
51,6.519831657409668,0.47692522406578064
52,5.725847244262695,0.42607399821281433
53,6.277346611022949,0.48051154613494873
54,6.390735626220703,0.4887574017047882
55,5.933330059051514,0.4538479745388031
56,8.330406188964844,0.6299793124198914
57,6.549788475036621,0.48641523718833923
58,5.951240062713623,0.43345534801483154
59,6.448814392089844,0.47825318574905396
60,6.673748016357422,0.5053673386573792
61,5.915207862854004,0.438772588968277
62,6.114927768707275,0.4586235284805298
63,6.768209934234619,0.5155025124549866
